"","sub","rotation","imagename","match","imgID","movable","block","correct"
"1",5,120,"001_Baum_Bonsai","match",1,"0",1,0
"2",12,180,"001_Baum_Bonsai","match",1,"0",1,1
"3",3,0,"001_Baum_Bonsai","mismatch",1,"0",1,1
"4",11,0,"001_Baum_Bonsai","mismatch",1,"0",1,1
"5",10,60,"001_Baum_Bonsai","mismatch",1,"0",1,1
"6",2,120,"001_Baum_Bonsai","mismatch",1,"0",1,1
"7",8,120,"001_Baum_Bonsai","mismatch",1,"0",1,1
"8",9,120,"001_Baum_Bonsai","mismatch",1,"0",1,1
"9",4,180,"001_Baum_Bonsai","mismatch",1,"0",1,1
"10",7,180,"001_Baum_Bonsai","mismatch",1,"0",1,1
"11",1,300,"001_Baum_Bonsai","mismatch",1,"0",1,1
"12",6,300,"001_Baum_Bonsai","mismatch",1,"0",1,1
"13",12,0,"002_Baum_Palme","match",2,"0",1,0
"14",1,120,"002_Baum_Palme","match",2,"0",1,1
"15",2,120,"002_Baum_Palme","match",2,"0",1,1
"16",7,120,"002_Baum_Palme","match",2,"0",1,0
"17",8,120,"002_Baum_Palme","match",2,"0",1,1
"18",3,180,"002_Baum_Palme","match",2,"0",1,1
"19",6,180,"002_Baum_Palme","match",2,"0",1,1
"20",10,180,"002_Baum_Palme","match",2,"0",1,1
"21",9,60,"002_Baum_Palme","mismatch",2,"0",1,1
"22",11,180,"002_Baum_Palme","mismatch",2,"0",1,1
"23",4,240,"002_Baum_Palme","mismatch",2,"0",1,0
"24",5,240,"002_Baum_Palme","mismatch",2,"0",1,1
"25",3,60,"003_Baum_Tanne","match",3,"0",1,1
"26",7,60,"003_Baum_Tanne","match",3,"0",1,0
"27",8,120,"003_Baum_Tanne","match",3,"0",1,1
"28",10,300,"003_Baum_Tanne","match",3,"0",1,1
"29",12,60,"003_Baum_Tanne","mismatch",3,"0",1,1
"30",2,180,"003_Baum_Tanne","mismatch",3,"0",1,1
"31",4,180,"003_Baum_Tanne","mismatch",3,"0",1,1
"32",5,240,"003_Baum_Tanne","mismatch",3,"0",1,1
"33",6,240,"003_Baum_Tanne","mismatch",3,"0",1,1
"34",9,240,"003_Baum_Tanne","mismatch",3,"0",1,1
"35",11,240,"003_Baum_Tanne","mismatch",3,"0",1,1
"36",1,300,"003_Baum_Tanne","mismatch",3,"0",1,1
"37",1,0,"004_Baum_Weide","match",4,"0",1,1
"38",7,0,"004_Baum_Weide","match",4,"0",1,1
"39",2,60,"004_Baum_Weide","match",4,"0",1,1
"40",3,60,"004_Baum_Weide","match",4,"0",1,1
"41",12,120,"004_Baum_Weide","match",4,"0",1,1
"42",9,180,"004_Baum_Weide","match",4,"0",1,1
"43",11,180,"004_Baum_Weide","match",4,"0",1,1
"44",8,240,"004_Baum_Weide","match",4,"0",1,1
"45",5,60,"004_Baum_Weide","mismatch",4,"0",1,1
"46",4,120,"004_Baum_Weide","mismatch",4,"0",1,1
"47",6,180,"004_Baum_Weide","mismatch",4,"0",1,1
"48",10,300,"004_Baum_Weide","mismatch",4,"0",1,1
"49",4,60,"005_Bett_Doppelbett","match",5,"0",1,1
"50",5,60,"005_Bett_Doppelbett","match",5,"0",1,1
"51",7,120,"005_Bett_Doppelbett","match",5,"0",1,1
"52",12,180,"005_Bett_Doppelbett","match",5,"0",1,0
"53",2,300,"005_Bett_Doppelbett","match",5,"0",1,1
"54",11,300,"005_Bett_Doppelbett","match",5,"0",1,1
"55",3,60,"005_Bett_Doppelbett","mismatch",5,"0",1,1
"56",8,60,"005_Bett_Doppelbett","mismatch",5,"0",1,1
"57",10,120,"005_Bett_Doppelbett","mismatch",5,"0",1,1
"58",1,180,"005_Bett_Doppelbett","mismatch",5,"0",1,1
"59",6,240,"005_Bett_Doppelbett","mismatch",5,"0",1,1
"60",9,240,"005_Bett_Doppelbett","mismatch",5,"0",1,1
"61",1,180,"006_Bett_Einzelbett","match",6,"0",1,1
"62",6,240,"006_Bett_Einzelbett","match",6,"0",1,0
"63",10,300,"006_Bett_Einzelbett","match",6,"0",1,0
"64",3,0,"006_Bett_Einzelbett","mismatch",6,"0",1,1
