"vp" "stim" "par1" "par2" "dv"
"1" "1" 4 "A" 0
"1" "2" 4 "A" 0
"1" "3" 4 "A" 0
"1" "4" 4 "A" 0
"1" "5" 3 "A" 0
"1" "6" 4 "A" 0
"1" "7" 2 "A" 0
"1" "8" 4 "A" 1
"1" "9" 4 "A" 1
"1" "10" 3 "A" 0
"1" "11" 3 "A" 0
"1" "12" 2 "A" 0
"1" "13" 3 "A" 0
"1" "14" 4 "A" 0
"1" "15" 4 "A" 1
"1" "16" 2 "A" 1
"1" "17" 4 "A" 0
"1" "18" 5 "A" 0
"1" "19" 4 "A" 0
"1" "20" 3 "A" 1
"1" "21" 2 "A" 1
"1" "22" 1 "A" 1
"1" "23" 5 "A" 0
"1" "24" 4 "A" 0
"1" "25" 3 "A" 0
"1" "26" 3 "B" 1
"1" "27" 4 "B" 1
"1" "28" 2 "B" 1
"1" "29" 3 "B" 1
"1" "30" 5 "B" 1
"1" "31" 3 "B" 1
"1" "32" 4 "B" 0
"1" "33" 5 "B" 0
"1" "34" 4 "B" 1
"1" "35" 2 "B" 1
"1" "36" 4 "B" 1
"1" "37" 4 "B" 1
"1" "38" 4 "B" 1
"1" "39" 1 "B" 1
"1" "40" 4 "B" 1
"1" "41" 4 "B" 0
"1" "42" 3 "B" 1
"1" "43" 5 "B" 0
"1" "44" 2 "B" 0
"1" "45" 5 "B" 1
"1" "46" 2 "B" 1
"1" "47" 4 "B" 1
"1" "48" 5 "B" 1
"1" "49" 3 "B" 0
"1" "50" 3 "B" 1
"2" "1" 4 "A" 0
"2" "2" 4 "A" 0
"2" "3" 4 "A" 1
"2" "4" 4 "A" 0
"2" "5" 3 "A" 0
"2" "6" 4 "A" 1
"2" "7" 2 "A" 0
"2" "8" 4 "A" 0
"2" "9" 4 "A" 0
"2" "10" 3 "A" 0
"2" "11" 3 "A" 0
"2" "12" 2 "A" 1
"2" "13" 3 "A" 1
"2" "14" 4 "A" 1
"2" "15" 4 "A" 0
"2" "16" 2 "A" 0
"2" "17" 4 "A" 0
"2" "18" 5 "A" 0
"2" "19" 4 "A" 1
"2" "20" 3 "A" 0
"2" "21" 2 "A" 1
"2" "22" 1 "A" 0
"2" "23" 5 "A" 0
"2" "24" 4 "A" 0
"2" "25" 3 "A" 0
"2" "26" 3 "B" 1
"2" "27" 4 "B" 1
"2" "28" 2 "B" 0
"2" "29" 3 "B" 0
"2" "30" 5 "B" 1
"2" "31" 3 "B" 1
"2" "32" 4 "B" 1
"2" "33" 5 "B" 1
"2" "34" 4 "B" 1
"2" "35" 2 "B" 1
"2" "36" 4 "B" 1
"2" "37" 4 "B" 1
"2" "38" 4 "B" 1
"2" "39" 1 "B" 1
"2" "40" 4 "B" 1
"2" "41" 4 "B" 0
"2" "42" 3 "B" 1
"2" "43" 5 "B" 1
"2" "44" 2 "B" 1
"2" "45" 5 "B" 1
"2" "46" 2 "B" 1
"2" "47" 4 "B" 1
"2" "48" 5 "B" 1
"2" "49" 3 "B" 1
"2" "50" 3 "B" 1
"3" "1" 4 "A" 1
"3" "2" 4 "A" 1
"3" "3" 4 "A" 0
"3" "4" 4 "A" 0
"3" "5" 3 "A" 0
